,0,1,2,3,4
187,Google Nexus 5X,Samsung Galaxy J3 Aura,Huawei P10,SONY A6500,Samsung Galaxy Book2
188,OnePlus 6T,Motorola moto g4,OnePlus 6T,Pentax K1000,Samsung Chromebook Pro 510C24I
189,Samsung Galaxy Note5,Samsung Galaxy J6,Samsung Galaxy Note 3,Nikon COOLPIX L340,Apple iPad Air (2019)
190,Samsung Galaxy J3 Eclipse,Samsung Galaxy Note Edge,Google Pixel 2 XL,Sony Cyber-shot DSC-WX500,Dell Optiplex 5250
191,Motorola One Zoom,Sub-Zero BI-36F,ASUS ZenFone 5Q,Panasonic Lumix S1,Lenovo Flex 5 2-IN-1
192,ZTE Prestige,LG G7 ThinQ,Samsung Galaxy C9 Pro,PENTAX K-70,Lenovo ThinkPad 11E
193,Samsung Galaxy S6 edge,LG K8S,Motorola One Zoom,Panasonic Lumix DMC-ZS50,HUAWEI MateBook X Pro
194,Microsoft Lumia 640,LG G Pad 8.0 (V490),Nokia 2720 Fold,Canon PowerShot ELPH 190 IS,Lenovo ThinkPad T490
195,Google Pixel XL,LG V10,Motorola Moto Z3,Olympus OM-D E-M10 Mark II,Apple iPad Air 2
196,OnePlus 6,HTC One (M9),OnePlus One,Canon PowerShot ELPH 360 HS,Lenovo ThinkPad L560
197,ASUS ZenFone 4 Max (ZC554KL),HTC One,Samsung Galaxy Note 10+,PENTAX K-1,Lenovo ThinkPad T470P
198,Samsung J7,LG G Pad 7.0,OnePlus 3,Sony Cyber-Shot DSC-WX220,HP Spectre X360 13-AE013DX
199,Royole FlexPai,Samsung Chromebook Plus 525QBBI,OPPO K3,FUJIFILM X-A5,Lenovo Legion T730
200,Samsung SHAPE M3,Samsung Galaxy S9+,Huawei Y5 (2017),Canon PowerShot SX610 HS,Amazon Fire Kids Edition
201,Apple iPad mini 4,Samsung Galaxy A9,BlackBerry Priv Black,Sony Cyber-shot DSC RX100 VI,Lenovo S940 81R0
202,Motorola moto Z FORCE DroID,HTC U12+,Motorola moto Z FORCE DroID,Leica M10-P,Getac RX10
203,Sony Xperia XZ1 Compact,Motorola Moto E5 Play,ASUS ZenPad 10 Z300M,Nikon COOLPIX A1000,Acer One 10 S1003-15NJ
204,Nokia 2,LG G Pad 7.0 (V410),Samsung Galaxy Sky,Panasonic LUMIX DMC-ZS60,ASUS VivoBook S15 S510UA
